,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK
386,27821,2060049700,2060016100,2060016800,0,0,107,000,-,Çª¸¥»ù±æ,0,000,0,0,0,0,
387,27822,2060080700,2060025100,2060026100,0,0,107,004,-,¼º³²´ë·Î,0,000,0,0,0,0,
388,27823,2060062500,2060020000,2060025100,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
389,27824,2060032300,2060000400,2060011300,0,0,105,000,-,µ¹¸¶·Î,0,000,0,0,0,0,
390,27825,2060093100,2060029100,2060029700,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
391,27826,2060016700,2060006700,2060006100,0,0,107,000,-,¹«Áö°³±æ,0,000,0,0,0,0,
392,27827,2060063900,2060020400,2060021300,0,0,107,000,-,-,0,000,0,0,0,0,
393,27828,2060083100,2060026100,2060029100,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
394,27838,2060092000,2060029800,2060028900,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,
395,27839,2060089600,2060028900,2060028300,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,
396,27840,2060094900,2060029800,2060001600,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,
397,27842,2060141600,2060044900,2060047400,0,0,102,000,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,102,0,0,0,0,
398,27843,2060135700,2060043200,2060044900,0,0,102,000,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,102,0,0,0,0,
399,27844,2060141700,2060047400,2060044900,0,0,102,000,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,102,0,0,0,0,
400,27846,2060061200,2060019700,2060022500,0,0,102,000,100,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
401,27847,2060149700,2060047400,2060048200,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,
402,27848,2060149500,2060047700,2060047400,0,0,102,003,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,102,0,0,0,0,
403,27849,2060135800,2060047700,2060043200,0,0,102,002,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,000,0,0,0,0,
404,27850,2060135900,2060043200,2060047700,0,0,102,002,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,000,0,0,0,0,
405,27851,2060175800,2040004800,2040005100,0,0,102,002,-,ºÐ´ç-³»°î°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
406,27859,2060131000,2060041700,2060041900,0,0,102,000,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,000,0,0,0,0,
407,27860,2060131100,2060041900,2060041700,0,0,102,000,-,µµ½Ã°í¼ÓÈ­±¹µµÁ¦100È£,0,000,0,0,0,0,
408,27861,2060175600,2040000400,2040004800,0,0,102,000,-,ºÐ´ç-³»°î°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
409,27862,2060175700,2040004800,2040000400,0,0,102,000,-,ºÐ´ç-³»°î°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
410,27863,2060024000,2060009100,2060008500,0,0,107,000,-,-,0,000,0,0,0,0,
411,27864,2060024100,2060008500,2060009100,0,0,107,000,-,-,0,000,0,0,0,0,
412,27865,2060026200,2060009100,2060009200,0,0,107,000,-,°ñ¾È3±æ,0,000,0,0,0,0,
413,27866,2060140400,2060044500,2060045200,0,0,107,000,-,Åº¿ìÃµ·Î,0,000,0,0,0,0,
414,27867,2060140500,2060045200,2060044500,0,0,107,000,-,Åº¿ìÃµ·Î,0,000,0,0,0,0,
415,27868,2060174200,2050004500,2060055400,0,0,107,000,000,¾Æ¸®¶û±æ,0,000,0,0,0,0,
416,27869,2060174300,2050004500,2060055400,0,0,107,000,000,¾Æ¸®¶û±æ,0,000,0,0,0,0,
417,27870,2060133000,2060042300,2060042700,0,0,107,000,-,ÅºÃµ¿ì·Î,0,000,0,0,0,0,
418,27871,2060134200,2060042700,2060043800,0,0,107,000,-,ÅºÃµ¿ì·Î,0,000,0,0,0,0,
419,27872,2060132400,2060042700,2060042100,0,0,107,000,000,-,0,000,0,0,0,0,
420,27873,2060132500,2060042100,2060042700,0,0,107,000,000,-,0,000,0,0,0,0,
421,27874,2060072500,2060022700,2060001701,0,0,107,000,000,°¡Àå°ñ±æ,0,000,0,0,0,0,
422,27875,2060072600,2060001701,2060022700,0,0,107,000,000,°¡Àå°ñ±æ,0,000,0,0,0,0,
423,27876,2060041000,2060013400,2060015100,0,0,107,000,000,±ÝÃµ±æ,0,000,0,0,0,0,
424,27877,2060041100,2060015100,2060013400,0,0,107,000,000,±ÝÃµ±æ,0,000,0,0,0,0,
425,27878,2060033600,2060012300,2060011200,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
426,27879,2060024400,2060011200,2060008600,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
427,27880,2060024500,2060008600,2060011200,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
428,27881,2060033700,2060011200,2060012300,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
429,27882,2060173600,2060055300,2060055200,0,0,107,003,-,¼Û¸²·Î,0,000,0,0,0,0,
430,27883,2060173700,2060055200,2060055300,0,0,107,003,-,¼Û¸²·Î,0,000,0,0,0,0,
431,27884,2060173800,2060055400,2060055300,0,0,107,000,-,¼Û¸²·Î,0,000,0,0,0,0,
432,27885,2060022000,2060012300,2060007600,0,0,102,001,100,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
433,27886,2060022100,2060007600,2060012300,0,0,102,001,100,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
434,27893,2060173000,2060054900,2050003400,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
435,27894,2060173100,2050003400,2060054900,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
436,27895,2060171200,2060054100,2060054900,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
