,OBJECTID,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,ID½Å±ÔºÎ¿©,latitude,longitude
314,38231,2060005400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.33809368291088,127.11031135538383
315,38232,2060007000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34072846353229,127.10957704275904
316,38233,2060007100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.340732057223136,127.11028682457675
317,38234,2060006800,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.340596901712615,127.1123848241607
318,38235,2060009600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.3454317450757,127.11034948034262
319,38236,2060009500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34542946349575,127.10985744956918
320,38237,2060008800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.344342370221284,127.11166773085483
321,38238,2060009800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.3454395260099,127.11201141845947
322,38239,2060009700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34543787035807,127.11165588678364
323,38240,2060009000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34434715101719,127.10987485594706
324,38241,2060008300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.343583713848545,127.10988713708866
325,38242,2060008900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.3443458703826,127.11035648066525
326,38243,2060008700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34434143222842,127.11202298104286
327,38244,2060009900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34587077610399,127.10985035571696
328,38245,2060010200,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.34646524505246,127.11999748081735
329,38246,2060005200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.335895057285825,127.11174110563991
330,38247,2060006600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.340078932693245,127.11028885524593
331,38248,2060005300,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.33742724481766,127.11173913702396
332,38249,2060005000,103,-,1,,sn_si-kg,5,999,,,00000,206,,37.33411840165087,127.11809941850697
333,38250,2060009300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34506399521081,127.11035185545211
334,38251,2060009400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.34507611987044,127.11165979343855
335,38252,2060029700,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.37765305763776,127.11094982456189
336,38253,2060029200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37729302665383,127.11355294904786
337,38254,2060024500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.371769870088485,127.1098045118772
338,38255,2060026000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37350715160642,127.119205355276
339,38256,2060025200,101,´ÃÇª¸¥°íµîÇÐ±³,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.372409339312696,127.1059258555747
340,38257,2060020100,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.36851999546718,127.10980485541825
341,38258,2060020400,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.36852711989627,127.11473951183541
342,38259,2060015300,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3634595265961,127.10594651210238
343,38260,2060015200,101,½Å±â»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.36345933863777,127.11477073090032
344,38261,2060012800,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.356651276622415,127.10594498055696
345,38262,2060011800,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.35139108901302,127.10622807454126
346,38263,2060010000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.345877713474124,127.11200885539176
347,38264,2060008100,102,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.34344337014926,127.10590523052326
348,38265,2060008000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.34343361969985,127.11202173098525
349,38266,2060007800,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.34264821389269,127.10591148081141
350,38267,2060007600,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.342630526026994,127.10446460566516
351,38268,2060007700,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.342633369683256,127.1073802310666
352,38269,2060007200,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.34073912049837,127.1116880429422
353,38270,2060006200,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.339695338572824,127.10447860541126
354,38271,2060006300,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.339699057269456,127.10593826172203
355,38272,2060006400,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3397043389877,127.10738948059361
356,38273,2060006000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.338361214127474,127.10467748058545
357,38274,2060011500,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3505954947866,127.12001704287013
358,38275,2060006100,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.339140276117064,127.12075426210356
359,38276,2060005900,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.33821993243532,127.11906829320276
360,38277,2060005100,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3358005889026,127.11771479286426
361,38278,2060028700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37680515164749,127.11547785522146
362,38279,2060014800,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.36169493266817,127.11478523066944
363,38280,2060021000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.3693769324492,127.10594360549362
364,38281,2060023700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37095590181366,127.1059343559665
365,38282,2060019900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.368501276079144,127.10714979328634
366,38283,2060021600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36970452668618,127.10980473041252
367,38284,2060023000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37046771384331,127.10980466835929
368,38285,2060024400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37170555777152,127.11421844914821
369,38286,2060025000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.372307932659965,127.1150447615172
370,38287,2060024900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37221871361942,127.11260454292153
371,38288,2060025800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37320037037915,127.11402273059434
372,38289,2060023100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.3704784634395,127.11164891793726
373,38290,2060021700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36971349472549,127.11165598031323
374,38291,2060025500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.372620464152305,127.11318494917145
375,38292,2060024000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.371292339084164,127.1136515740975
376,38293,2060024100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.371493401409566,127.11392738717075
377,38294,2060023800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37103549541058,127.11497532396402
378,38295,2060023500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.370831369994335,127.11468848070615
379,38296,2060022000,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.36972852599388,127.11476444913592
380,38297,2060020200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36852271411766,127.11166691786775
381,38298,2060021900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36972621383694,127.11428682460212
382,38299,2060023200,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.370713932926435,127.11533854304457
383,38300,2060020300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36852490126881,127.11319088649554
384,38301,2060017500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36562115141487,127.1069131996469
385,38302,2060017400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36561155744744,127.10594748067217
