,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
84,2060152800,2060051300,2060048500,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060051300,OEXT2060048500,228.46817679
85,2060134800,2060043000,2060042900,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060043000,OEXT2060042900,344.113729022
86,2060137600,2060043700,2060043900,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060043700,OEXT2060043900,176.126934828
87,2060134400,2060042800,2060042900,1,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060042800,OEXT2060042900,189.965848448
88,2060134900,2060042900,2060043000,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060042900,OEXT2060043000,319.26701249
89,2060100600,2060034500,2060031500,0,0.0,107,µ¹¸¶·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060034500,OEXT2060031500,442.004817869
90,2060091800,2060030000,2060028800,0,0.0,107,¸Ô°Å¸®±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060030000,OEXT2060028800,138.37586009
91,2060124400,2060039600,2060039400,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060039600,OEXT2060039400,153.732802907
92,2060109000,2060035000,2060034500,0,0.0,107,»õ¸¶À»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060035000,OEXT2060034500,1068.77713998
93,2060100000,2060035000,2060031300,0,0.0,107,¹®Á¤±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060035000,OEXT2060031300,518.770134255
94,2060093600,2060031000,2060029200,0,0.0,107,ÃÊ¸²±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060031000,OEXT2060029200,268.577858947
95,2060124700,2060040500,2060039400,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060040500,OEXT2060039400,916.727587951
96,2060095100,2060030500,2060029900,0,0.0,107,¼­Çö½Ã¹ü±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060030500,OEXT2060029900,95.0886444061
97,2060108100,2060001900,2060034900,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060001900,OEXT2060034900,140.384353806
98,2060097300,2060033400,2060030500,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060033400,OEXT2060030500,518.873629897
