,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,len
61,2060067800,2060021500,2060001702,0,0,107,000,-,±Ã³»±æ,0,000,0,0,0,0,,5,,,OEXT2060021500,OEXT2060001702,OEXT2060067800,,sn_si-kg,206,00000,,0.00255093936758
62,2060067900,2060021500,2060022300,0,0,107,000,-,±Ã³»±æ,0,000,0,0,0,0,,5,,,OEXT2060021500,OEXT2060022300,OEXT2060067900,,sn_si-kg,206,00000,,0.0021610608963
63,2060068000,2060022300,2060021500,0,0,107,000,-,±Ã³»±æ,0,000,0,0,0,0,,5,,,OEXT2060022300,OEXT2060021500,OEXT2060068000,,sn_si-kg,206,00000,,0.00218991569324
64,2060071100,2060022300,2060023400,0,0,107,000,-,±Ã³»±æ,0,000,0,0,0,0,,5,,,OEXT2060022300,OEXT2060023400,OEXT2060071100,,sn_si-kg,206,00000,,0.00428546872007
65,2060071200,2060023400,2060022300,0,0,107,000,-,±Ã³»±æ,0,000,0,0,0,0,,5,,,OEXT2060023400,OEXT2060022300,OEXT2060071200,,sn_si-kg,206,00000,,0.00429218199496
66,2060145600,2060046100,2060046700,0,0,107,000,-,ÇÏÅ¾·Î,0,000,0,0,0,0,,5,,,OEXT2060046100,OEXT2060046700,OEXT2060145600,,sn_si-kg,206,00000,,0.00285078426987
67,2060145700,2060046700,2060046100,0,0,107,000,-,ÇÏÅ¾·Î,0,000,0,0,0,0,,5,,,OEXT2060046700,OEXT2060046100,OEXT2060145700,,sn_si-kg,206,00000,,0.00282153973833
68,2060004600,2060002100,2060002200,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060002100,OEXT2060002200,OEXT2060004600,,sn_si-kg,206,00000,,0.00235074905139
69,2060004200,2060002000,2060002100,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060002000,OEXT2060002100,OEXT2060004200,,sn_si-kg,206,00000,,0.0045194579713
70,2060004000,2060001900,2060002000,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001900,OEXT2060002000,OEXT2060004000,,sn_si-kg,206,00000,,0.00195910978262
71,2060003600,2060001600,2060001900,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001600,OEXT2060001900,OEXT2060003600,,sn_si-kg,206,00000,,0.00516928797069
72,2060005300,2060002700,2060002500,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060002700,OEXT2060002500,OEXT2060005300,,sn_si-kg,206,00000,,0.00171874590626
73,2060004700,2060002500,2060002200,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060002500,OEXT2060002200,OEXT2060004700,,sn_si-kg,206,00000,,0.0017182966012
74,2060004500,2060002200,2060002100,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060002200,OEXT2060002100,OEXT2060004500,,sn_si-kg,206,00000,,0.00235037238779
75,2060124600,2060039400,2060040500,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060039400,OEXT2060040500,OEXT2060124600,,sn_si-kg,206,00000,,0.0101283904602
76,2060125800,2060040400,2060039800,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060040400,OEXT2060039800,OEXT2060125800,,sn_si-kg,206,00000,,0.00130814586881
77,2060108800,2060034500,2060034900,0,0,107,000,-,»õ¸¶À»±æ,0,000,0,0,0,0,,5,,,OEXT2060034500,OEXT2060034900,OEXT2060108800,,sn_si-kg,206,00000,,0.00514605805894
78,2060129000,2060041600,2060041000,0,0,107,000,-,ÅºÃµ¿ì·Î,0,000,0,0,0,0,,5,,,OEXT2060041600,OEXT2060041000,OEXT2060129000,,sn_si-kg,206,00000,,0.00263863944787
79,2060121600,2060038500,2060038300,0,0,107,000,-,È²»õ¿ï1±æ,0,000,0,0,0,0,,5,,,OEXT2060038500,OEXT2060038300,OEXT2060121600,,sn_si-kg,206,00000,,0.000762419566512
80,2060121800,2060038500,2060038400,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060038500,OEXT2060038400,OEXT2060121800,,sn_si-kg,206,00000,,0.000850843304558
81,2060122200,2060038900,2060038500,0,0,107,000,-,È²»õ¿ï1±æ,0,000,0,0,0,0,,5,,,OEXT2060038900,OEXT2060038500,OEXT2060122200,,sn_si-kg,206,00000,,0.000942344104138
82,2060120600,2060038300,2060038000,0,0,107,000,-,»õµ¿¾È±æ,0,000,0,0,0,0,,5,,,OEXT2060038300,OEXT2060038000,OEXT2060120600,,sn_si-kg,206,00000,,0.00071675803705
83,2060101600,2060032600,2060031900,0,0,107,000,-,¼­ÇöÁß¾Ó±æ,0,000,0,0,0,0,,5,,,OEXT2060032600,OEXT2060031900,OEXT2060101600,,sn_si-kg,206,00000,,0.000944047799845
84,2060095200,2060030800,2060029900,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060030800,OEXT2060029900,OEXT2060095200,,sn_si-kg,206,00000,,0.00399258366943
85,2060126800,2060041000,2060040200,0,0,107,000,-,±¸·¿µé±æ,0,000,0,0,0,0,,5,,,OEXT2060041000,OEXT2060040200,OEXT2060126800,,sn_si-kg,206,00000,,0.00238545900338
86,2060126500,2060040000,2060040200,0,0,107,000,-,±¸·¿µé±æ,0,000,0,0,0,0,,5,,,OEXT2060040000,OEXT2060040200,OEXT2060126500,,sn_si-kg,206,00000,,0.00198239823854
87,2060123000,2060002500,2060038900,0,0,107,000,-,È²»õ¿ï±æ,0,000,0,0,0,0,,5,,,OEXT2060002500,OEXT2060038900,OEXT2060123000,,sn_si-kg,206,00000,,0.00081350315817
88,2060120200,2060038300,2060037900,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,,5,,,OEXT2060038300,OEXT2060037900,OEXT2060120200,,sn_si-kg,206,00000,,0.000879517554901
89,2060120400,2060038400,2060037900,0,0,107,000,-,È²»õ¿ï2±æ,0,000,0,0,0,0,,5,,,OEXT2060038400,OEXT2060037900,OEXT2060120400,,sn_si-kg,206,00000,,0.000751191772482
