,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
81,2060030500,2060010500,2060010400,1,107,000,-,¼º³²´ë·Î144¹ø±æ,0,0,000,40,0,0.0,0,92.1341,
82,2060030601,2060010700,2060010401,1,107,000,-,¼º³²´ë·Î143¹ø±æ,0,0,000,40,0,0.0,0,118.3546,
83,2060030602,2060010401,2060010400,1,107,000,-,¼º³²´ë·Î143¹ø±æ,0,0,000,40,0,0.0,0,80.4245,
84,2060030701,2060010400,2060010401,1,107,000,-,¼º³²´ë·Î143¹ø±æ,0,0,000,40,0,0.0,0,80.5686,
85,2060030702,2060010401,2060010700,1,107,000,-,¼º³²´ë·Î143¹ø±æ,0,0,000,40,0,0.0,0,112.6019,
86,2060030800,2060010400,2060011000,4,107,000,-,¼º³²´ë·Î,0,0,000,70,0,0.0,0,150.543,
87,2060030900,2060011000,2060010400,4,107,000,-,¼º³²´ë·Î,0,0,000,70,0,0.0,0,150.4943,
88,2060031003,2060010500,2060010600,1,107,000,-,¼º³²´ë·Î144¹ø±æ,0,0,000,40,0,0.0,0,186.3147,
89,2060031103,2060010600,2060010500,1,107,000,-,¼º³²´ë·Î144¹ø±æ,0,0,000,40,0,0.0,0,185.6359,
90,2060031200,2060010500,2060010800,1,107,000,-,µ¹¸¶·Î90¹ø±æ,0,0,000,10,0,0.0,0,263.2171,
91,2060031300,2060010800,2060010500,1,107,000,-,µ¹¸¶·Î90¹ø±æ,0,0,000,10,0,0.0,0,282.4885,
92,2060031400,2060010800,2060010600,1,107,000,-,µ¹¸¶·Î90¹ø±æ,0,0,000,30,0,0.0,0,89.9493,
93,2060031500,2060010600,2060010800,1,107,000,-,µ¹¸¶·Î90¹ø±æ,0,0,000,30,0,0.0,0,89.9493,
94,2060031601,2060010700,2060010701,1,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,40,0,0.0,0,85.4975,
95,2060031702,2060010701,2060010700,1,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,40,0,0.0,0,90.6131,
96,2060031800,2060011400,2060010800,1,107,000,-,µ¹¸¶·Î90¹ø±æ,0,0,000,40,0,0.0,0,62.0333,
97,2060031900,2060010800,2060011400,1,107,000,-,µ¹¸¶·Î90¹ø±æ,0,0,000,40,0,0.0,0,62.0333,
98,2060032001,2060010900,2060057100,2,107,000,-,±¸¹Ì·Î173¹ø±æ,0,0,000,50,0,0.0,0,74.5455,
