,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,Shape_len
1512,218785,2060054200,2060017700,2060018000,0,0,107,000,-,¼±ÁöºÀ3±æ,0,000,0,0,0,0,,5,,,OEXT2060017700,OEXT2060018000,OEXT2060054200,,sn_si-kg,206,00000,,0.00240749949314
1513,218786,2060052200,2060017000,2060017300,0,0,107,000,-,¼±ÁöºÀ5±æ,0,000,0,0,0,0,,5,,,OEXT2060017000,OEXT2060017300,OEXT2060052200,,sn_si-kg,206,00000,,0.000909413257948
1514,218787,2060051400,2060017000,2060016600,0,0,107,000,-,¼±ÁöºÀ±æ,0,000,0,0,0,0,,5,,,OEXT2060017000,OEXT2060016600,OEXT2060051400,,sn_si-kg,206,00000,,0.000425665446634
1515,218788,2060052400,2060017700,2060017000,0,0,107,000,-,¼±ÁöºÀ±æ,0,000,0,0,0,0,,5,,,OEXT2060017700,OEXT2060017000,OEXT2060052400,,sn_si-kg,206,00000,,0.000776852101473
1516,218789,2060054500,2060018000,2060017700,0,0,107,000,-,¼±ÁöºÀ±æ,0,000,0,0,0,0,,5,,,OEXT2060018000,OEXT2060017700,OEXT2060054500,,sn_si-kg,206,00000,,0.000297186849382
1517,218791,2060163700,2060051800,2060053000,0,0,107,000,-,¼Ò´ã±æ,0,000,0,0,0,0,,5,,,OEXT2060051800,OEXT2060053000,OEXT2060163700,,sn_si-kg,206,00000,,0.000537267535427
1518,218792,2060167900,2060053000,2060053900,0,0,107,000,-,¼Ò´ã±æ,0,000,0,0,0,0,,5,,,OEXT2060053000,OEXT2060053900,OEXT2060167900,,sn_si-kg,206,00000,,0.000809882232195
1519,218794,2060137100,2060043500,2060045400,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,,5,,,OEXT2060043500,OEXT2060045400,OEXT2060137100,,sn_si-kg,206,00000,,0.00139390324072
1520,218796,2060162500,2060051400,2060053100,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,,5,,,OEXT2060051400,OEXT2060053100,OEXT2060162500,,sn_si-kg,206,00000,,0.00124624581331
1521,218797,2060018300,2060006500,2060006900,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,,5,,,OEXT2060006500,OEXT2060006900,OEXT2060018300,,sn_si-kg,206,00000,,0.00101165228833
1522,218798,2060014100,2060005500,2060005400,0,0,107,000,-,±¸¹Ì·Î,0,000,0,0,0,0,,5,,,OEXT2060005500,OEXT2060005400,OEXT2060014100,,sn_si-kg,206,00000,,0.00132438319307
1523,218799,2060039700,2060013100,2060014000,0,0,107,000,-,ºÒ°î±æ,0,000,0,0,0,0,,5,,,OEXT2060013100,OEXT2060014000,OEXT2060039700,,sn_si-kg,206,00000,,0.00536641668464
1524,218800,2060061700,2060019800,2060021000,0,0,107,000,-,¹é±Ã·Î,0,000,0,0,0,0,,5,,,OEXT2060019800,OEXT2060021000,OEXT2060061700,,sn_si-kg,206,00000,,0.000877546423414
1525,218801,2060061500,2060019800,2060019900,0,0,107,000,-,±Ã³»´Ù¸®±æ,0,000,0,0,0,0,,5,,,OEXT2060019800,OEXT2060019900,OEXT2060061500,,sn_si-kg,206,00000,,0.00120106402025
1526,218802,2060080300,2060025000,2060025800,0,0,107,000,-,ÀåÀÚ°ñ±æ,0,000,0,0,0,0,,5,,,OEXT2060025000,OEXT2060025800,OEXT2060080300,,sn_si-kg,206,00000,,0.00135683179616
